option_id,type,strike,maturity,moneyness,market_price,model_price,abs_difference,rel_difference_pct,market_iv
20,put,88000.0,0.009,0.9513769173102102,255.4445496456,238.36157027937588,-17.082979366224123,-6.687548976842448,
21,call,89000.0,0.009,0.9621880186432809,3875.8991209008,3896.0005892492045,20.101468348404524,0.5186272325821712,
22,put,89000.0,0.009,0.9621880186432809,369.60450221520006,390.4766639740992,20.872161758899153,5.647161123255598,
23,call,90000.0,0.009,0.9729991199763515,3048.3995003588007,3116.1787642969866,67.77926393818598,2.223437706580396,
24,put,90000.0,0.009,0.9729991199763515,542.1025143016001,610.5648430717556,68.46232877015552,12.62903730641366,
25,call,91000.0,0.009,0.983810221309422,2302.0416229748,2419.1408609999853,117.09923802518551,5.086755897743704,
26,put,91000.0,0.009,0.983810221309422,795.7605461910857,913.4369438246358,117.6763976335501,14.787915560379203,
27,call,92000.0,0.009,0.9946213226424926,1648.2092918760002,1816.605822509926,168.39653063392575,10.216938556526154,
28,put,92000.0,0.009,0.9946213226424926,1141.9084961368,1310.811909384458,168.9034132476579,14.79132643456778,
29,call,93000.0,0.009,1.0054324239755632,1128.2185154380002,1315.1623815156854,186.94386607768524,16.569827876394083,
30,put,93000.0,0.009,1.0054324239755632,1621.9185333252285,1809.2784724400844,187.35993911485593,11.5517478384524,
31,call,94000.0,0.009,1.0162435253086337,736.1691234525429,915.025430177644,178.85630672510115,24.29554582325961,
32,put,94000.0,0.009,1.0162435253086337,2229.8396712536,2409.0515251519246,179.21185389832453,8.03698383380061,
33,call,95000.0,0.009,1.0270546266417042,457.2114981,609.9712557424609,152.75975764246095,33.4111802256228,
34,put,95000.0,0.009,1.0270546266417042,2950.9054503684006,3103.907354766634,153.00190439823336,5.184913816168936,
35,call,96000.0,0.009,1.037865727974775,274.02162866400005,388.4796276603338,114.45799899633374,41.7696951712815,
36,put,96000.0,0.009,1.037865727974775,3767.845118437629,3882.325730734374,114.48061229674477,3.038357700441126,
37,call,97000.0,0.009,1.0486768293078454,156.92340319817143,235.73910962626724,78.81570642809581,50.22559084355508,
38,call,98000.0,0.009,1.059487930640916,88.05750068920001,135.9431569849521,47.8856562957521,54.37998571497628,
39,put,75000.0,0.01996,0.8108325999802929,57.17633328,2.172574933953001,-55.003758346047,-96.20021989987777,
40,put,78000.0,0.01996,0.8432659039795045,106.31087104,12.491660013838555,-93.81921102616144,-88.24987520877474,
41,put,80000.0,0.01996,0.8648881066456457,170.648284629,34.631804987511714,-136.01647964148827,-79.70574092625459,
42,put,81000.0,0.01996,0.8756992079787163,208.5634421085,55.35687647474697,-153.20656563375303,-73.45801550113039,
43,call,82000.0,0.01996,0.8865103093117869,10800.209093544,10600.099500034528,-200.10959350947087,-1.852830734815029,
44,put,82000.0,0.01996,0.8865103093117869,258.758850003,86.21964765811572,-172.5392023448843,-66.67953669715409,
45,put,83000.0,0.01996,0.8973214106448574,318.875237824,130.97157300953404,-187.90366481446597,-58.92701675323485,
46,call,84000.0,0.01996,0.908132511977928,8940.31116352,8708.486299445096,-231.82486407490433,-2.59302903260058,
47,put,84000.0,0.01996,0.908132511977928,398.9202536,194.2072869061958,-204.71296669380422,-51.31676440250919,
48,call,85000.0,0.01996,0.9189436133109986,8040.74055488,7795.8231050219765,-244.91744985802325,-3.0459563790972037,
49,put,85000.0,0.01996,0.9189436133109986,499.343678944,281.3445124018326,-217.99916654216736,-43.65713950824145,
50,call,86000.0,0.01996,0.9297547146440691,7158.8174768,6913.198338796588,-245.61913800341154,-3.431001541796587,
51,put,86000.0,0.01996,0.9297547146440691,617.41804611,398.5201660952007,-218.89788001479928,-35.453754776678515,
52,call,87000.0,0.01996,0.9405658159771397,6318.885712128,6067.2686110751965,-251.61710105280326,-3.981985313800946,
53,put,87000.0,0.01996,0.9405658159771397,777.475053344,552.3908582925651,-225.0841950514349,-28.95066460117591,
54,call,88000.0,0.01996,0.9513769173102102,5515.434456224,5264.914655687229,-250.51980053677107,-4.542158963634625,
55,put,88000.0,0.01996,0.9513769173102102,974.015980608,749.837322823354,-224.1786577846459,-23.015911673719067,
56,call,89000.0,0.01996,0.9621880186432809,4751.263068288,4512.863798084531,-238.3992702034693,-5.017597779307358,
57,put,89000.0,0.01996,0.9621880186432809,1209.8471244765,997.5868851394043,-212.26023933709575,-17.54438515766532,
58,call,90000.0,0.01996,0.9729991199763515,4038.336148352,3817.260117798309,-221.076030553691,-5.4744335892867575,
59,put,90000.0,0.01996,0.9729991199763515,1496.903889888,1301.7836247719242,-195.12026511607587,-13.034922711749717,
60,call,91000.0,0.01996,0.983810221309422,3376.4738226015,3183.2253618839095,-193.24846071759066,-5.723380984742742,
61,put,91000.0,0.01996,0.983810221309422,1835.010956768,1667.5492887762957,-167.4616679917042,-9.125921966518064,
62,call,92000.0,0.01996,0.9946213226424926,2788.629247668,2614.4616142259983,-174.16763344200172,-6.245636044578172,
63,put,92000.0,0.01996,0.9946213226424926,2247.16361936,2098.585961037141,-148.5776583228594,-6.611786388975753,
64,call,93000.0,0.01996,1.0054324239755632,2276.8275728000003,2112.9466277302126,-163.88094506978769,-7.19777584510934,
65,put,93000.0,0.01996,1.0054324239755632,2735.374640064,2596.871394460104,-138.50324560389572,-5.063410458490438,
66,call,94000.0,0.01996,1.0162435253086337,1819.6490092515,1678.7635562627402,-140.88545298875988,-7.742452103260954,
67,put,94000.0,0.01996,1.0162435253086337,3278.199429774,3162.488742911388,-115.71068686261196,-3.529702488862586,
68,call,95000.0,0.01996,1.0270546266417042,1454.220371296,1310.0896255989646,-144.1307456970353,-9.911203868543398,
69,put,95000.0,0.01996,1.0270546266417042,3912.752730304,3793.6152321663685,-119.13749813763161,-3.0448511917177874,
70,call,96000.0,0.01996,1.037865727974775,1139.3453462085,1003.3460998964947,-135.9992463120052,-11.936613140570758,
71,put,96000.0,0.01996,1.037865727974775,4597.862811168,4486.672126382648,-111.19068478535246,-2.4183123627628764,
72,call,98000.0,0.01996,1.059487930640916,677.804910112,554.4018185829736,-123.40309152902637,-18.206284682805755,
73,call,100000.0,0.01996,1.0811101333070572,381.287529568,281.3610933345881,-99.92643623341195,-26.20763295002827,
74,put,100000.0,0.01996,1.0811101333070572,7839.785431456001,7763.888799495762,-75.89663196023866,-0.9680957804752468,
75,call,105000.0,0.01996,1.13516563997241,102.210388192,33.89497134084081,-68.31541685115918,-66.83803677844384,
76,put,105000.0,0.01996,1.13516563997241,12560.672907552,12515.424777095788,-45.248130456211584,-0.36023651590359085,
77,call,108000.0,0.01996,1.1675989439716217,54.476918144,6.713466292469207,-47.763451851530796,-87.67649396993538,
78,put,108000.0,0.01996,1.1675989439716217,15512.917837824,15487.644531803671,-25.273306020328164,-0.16291781007636186,
79,put,70000.0,0.03913,0.75677709331494,97.6278026704,7.874867513513891,-89.75293515688611,-91.93378597273141,
80,put,75000.0,0.03913,0.8108325999802929,217.8408791486,53.449780223862035,-164.39109892473797,-75.46384295144104,
81,call,80000.0,0.03913,0.8648881066456457,13102.403868216,12779.021807060475,-323.38206115552566,-2.468112450265638,
82,put,80000.0,0.03913,0.8648881066456457,490.5154357324,250.20964517501125,-240.30579055738878,-48.99046453014931,
83,put,82000.0,0.03913,0.8865103093117869,677.9545933372,423.88897060160525,-254.06562273559473,-37.475315490521055,
84,put,83000.0,0.03913,0.8973214106448574,794.5837378614002,542.0791855054849,-252.50455235591528,-31.77821799317517,
85,call,84000.0,0.03913,0.908132511977928,9546.628629677,9215.842223460291,-330.7864062167082,-3.4649552113969686,
86,put,84000.0,0.03913,0.908132511977928,934.7434238528,685.4651677662623,-249.27825608653768,-26.668094123526366,
87,call,85000.0,0.03913,0.9189436133109986,8691.7824525816,8388.156652051868,-303.62580052973135,-3.4932512656198567,
88,put,85000.0,0.03913,0.9189436133109986,1079.8978218924,857.3883729056979,-222.50944898670218,-20.604676153228947,
89,call,86000.0,0.03913,0.9297547146440691,7889.957537255601,7592.3451050024305,-297.6124322531705,-3.7720409881532815,
90,put,86000.0,0.03913,0.9297547146440691,1278.072555582,1061.185602404119,-216.88695317788097,-16.96984668285256,
91,call,87000.0,0.03913,0.9405658159771397,7107.804324105001,6831.64309141862,-276.1612326863806,-3.8853240760979193,
