[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02761,0.00639, , 0.000000,60.51, 1 x 2,58.73,59.89,323.0,0.0,0.01, 0 x 1035,0.09,-0.00119,0.00012,0.00064,-0.00514,0.0, 1.217940, 0.000000,59.4,0.155
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02757,0.00644, , 0.000000,65.65, 1 x 2,57.64,58.74,324.0,0.0,0.01, 0 x 1028,0.01,-0.00137,0.00013,0.00021,-0.00509,0.0, 1.197650, 0.000000,58.4,0.153
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02799,0.00639, , 0.000000,57.62, 1 x 100,56.53,57.74,325.0,0.0,0.01, 0 x 1041,0.01,-0.00079,0.00018,0.00067,-0.00461,0.0, 1.177170, 0.000000,57.4,0.15
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02802,0.00671, , 0.000000,53.01, 2 x 1,55.45,56.7,326.0,0.0,0.01, 0 x 1451,0.01,-0.00128,0.00011,0.0008,-0.00542,-0.00012, 1.155700, 0.000000,56.4,0.148
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02752,0.00674, , 0.000000,40.65, 1 x 1,54.72,55.68,327.0,0.0,0.01, 0 x 1451,0.01,-0.00072,0.00013,0.00045,-0.00484,-0.0002, 1.135960, 0.000000,55.4,0.145
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02811,0.00682, , 0.000000,67.33, 1 x 1,53.71,54.88,328.0,0.0,0.01, 0 x 1028,0.01,-0.00076,0.00014,6e-05,-0.00453,-0.00043, 1.115520, 0.000000,54.4,0.142
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02754,0.00653, , ,0.0, 1 x 1,52.71,53.84,329.0,0.0,0.01, 0 x 1528,0.01,-0.00108,0.00015,0.00073,-0.00465,0.0, 1.094610, 1.000000,53.4,0.14
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02826,0.00613, , 1.000000,48.98, 1 x 1,51.67,52.95,330.0,0.0,0.01, 0 x 1251,0.01,-0.00135,0.0002,9e-05,-0.00473,0.0, 1.074710, 1.000000,52.4,0.137
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02854,0.00614, , 4.000000,49.68, 1 x 1,50.51,51.68,331.0,0.0,0.01, 0 x 1451,0.01,-0.00072,0.00016,0.00032,-0.00517,0.0, 1.053860, 0.000000,51.4,0.135
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02798,0.00638, , 6.000000,48.93, 2 x 1,49.63,50.67,332.0,0.0,0.01, 0 x 1028,0.02,-0.00074,0.00019,0.00058,-0.00505,-0.0004, 1.033530, 0.000000,50.4,0.132
