instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,spread_pct,open_interest
BTC-30JAN26-115000-C,call,30JAN26,115000.0,0.1542,93085.58,0.01020061,949.5296982038001,43.96,0.0095,0.01,0.049,1334.3
BTC-30JAN26-116000-C,call,30JAN26,116000.0,0.1542,93085.15,0.00922735,858.9292588525,43.96,0.0085,0.0095,0.1084,757.4
BTC-30JAN26-118000-C,call,30JAN26,118000.0,0.1542,93085.15,0.00752509,700.4741314135,43.96,0.007,0.008,0.1329,1373.2
BTC-30JAN26-120000-C,call,30JAN26,120000.0,0.1542,93085.15,0.00619992,577.120483188,44.1,0.006,0.0065,0.0806,715.7
BTC-30JAN26-122000-C,call,30JAN26,122000.0,0.1542,93085.15,0.00520917,484.89637082549996,44.45,0.005,0.0055,0.096,89.4
BTC-30JAN26-124000-C,call,30JAN26,124000.0,0.1542,93085.15,0.00439741,409.33356946149996,44.83,0.0042,0.0046,0.091,80.2
BTC-30JAN26-125000-C,call,30JAN26,125000.0,0.1542,93085.15,0.00404001,376.06493685149997,45.02,0.0039,0.0043,0.099,519.7
BTC-30JAN26-130000-C,call,30JAN26,130000.0,0.1542,93085.15,0.00276259,257.1561045385,46.24,0.0026,0.0029,0.1086,1586.6
BTC-30JAN26-140000-C,call,30JAN26,140000.0,0.1542,93085.15,0.00143437,133.51854660549998,49.0,0.0013,0.0016,0.2092,916.0
BTC-30JAN26-150000-C,call,30JAN26,150000.0,0.1542,93085.15,0.00093338,86.883817307,52.64,0.0008,0.001,0.2143,170.1
BTC-30JAN26-160000-C,call,30JAN26,160000.0,0.1542,93085.15,0.00053392,49.700023288,54.8,0.0005,0.0007,0.3746,352.3
BTC-27FEB26-50000-C,call,27FEB26,50000.0,0.23091,93463.33,0.46810096,43750.2744977968,70.34,0.467,0.469,0.0043,0.0
BTC-27FEB26-50000-P,put,27FEB26,50000.0,0.23091,93463.33,0.00307021,286.9520503993,70.34,0.0029,0.0032,0.0977,223.4
BTC-27FEB26-60000-C,call,27FEB26,60000.0,0.23091,93463.33,0.36509561,34123.0514789813,61.84,0.364,0.3665,0.0068,0.1
BTC-27FEB26-60000-P,put,27FEB26,60000.0,0.23091,93463.33,0.00705872,659.7314767376,61.84,0.0065,0.0075,0.1417,49.6
BTC-27FEB26-65000-C,call,27FEB26,65000.0,0.23091,93463.33,0.31507975,29448.4026505675,58.14,0.314,0.3165,0.0079,0.0
BTC-27FEB26-65000-P,put,27FEB26,65000.0,0.23091,93463.33,0.01053978,985.0829362674001,58.14,0.01,0.011,0.0949,65.1
BTC-27FEB26-70000-C,call,27FEB26,70000.0,0.23091,93463.33,0.26694245,24949.3302953585,55.11,0.2655,0.268,0.0094,0.0
BTC-27FEB26-70000-P,put,27FEB26,70000.0,0.23091,93463.33,0.01589941,1486.0118036352999,55.11,0.0155,0.016,0.0314,349.3
BTC-27FEB26-75000-C,call,27FEB26,75000.0,0.23091,93463.33,0.22115256,20669.6546956248,52.37,0.2195,0.2225,0.0136,52.7
BTC-27FEB26-75000-P,put,27FEB26,75000.0,0.23091,93463.33,0.02360644,2206.3364918452,52.37,0.023,0.024,0.0424,380.9
BTC-27FEB26-80000-C,call,27FEB26,80000.0,0.23091,93463.33,0.17831847,16666.2380067051,49.8,0.177,0.1795,0.014,2.7
BTC-27FEB26-80000-P,put,27FEB26,80000.0,0.23091,93463.33,0.03426927,3202.9200908691,49.8,0.034,0.0345,0.0146,97.7
BTC-27FEB26-82000-C,call,27FEB26,82000.0,0.23091,93463.33,0.16237308,15175.9287591564,48.94,0.161,0.1635,0.0154,0.4
BTC-27FEB26-82000-P,put,27FEB26,82000.0,0.23091,93463.33,0.03972265,3712.6111454244997,48.94,0.0395,0.0405,0.0252,76.2
BTC-27FEB26-84000-C,call,27FEB26,84000.0,0.23091,93463.33,0.14729377,13766.566232454099,48.23,0.146,0.1485,0.017,7.6
BTC-27FEB26-84000-P,put,27FEB26,84000.0,0.23091,93463.33,0.04604212,4303.2498554595995,48.23,0.0455,0.0465,0.0217,21.9
BTC-27FEB26-85000-C,call,27FEB26,85000.0,0.23091,93463.33,0.13985062,13070.9046477646,47.78,0.139,0.141,0.0143,14.7
BTC-27FEB26-85000-P,put,27FEB26,85000.0,0.23091,93463.33,0.04929836,4607.5888891388,47.78,0.049,0.05,0.0203,184.1
