instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,open_interest
BTC-8DEC25-98000-P,put,8DEC25,98000.0,0.009,92546.48142857142,0.05990836,5544.307926156172,38.84,,,0.0
BTC-8DEC25-100000-C,call,8DEC25,100000.0,0.009,92546.48142857142,0.00040015,37.032474543642856,41.87,0.0003,0.0005,15.2
BTC-8DEC25-100000-P,put,8DEC25,100000.0,0.009,92546.48142857142,0.08093826,7490.551175950885,41.87,,,0.0
BTC-12DEC25-55000-C,call,12DEC25,55000.0,0.01996,92579.83,0.4059526,37583.022696058004,118.78,,,0.1
BTC-12DEC25-55000-P,put,12DEC25,55000.0,0.01996,92579.83,3.403e-05,3.1504916149,118.78,,0.0001,154.2
BTC-12DEC25-60000-C,call,12DEC25,60000.0,0.01996,92579.9,0.35197509,32585.818634690997,105.7,,,1.3
BTC-12DEC25-60000-P,put,12DEC25,60000.0,0.01996,92579.9,6.393e-05,5.918633007,105.7,,0.0001,445.1
BTC-12DEC25-65000-C,call,12DEC25,65000.0,0.01996,92579.9,0.29808213,27596.413787186997,97.01,,,0.0
BTC-12DEC25-65000-P,put,12DEC25,65000.0,0.01996,92579.83,0.00017838,16.5143900754,97.01,0.0001,0.0003,725.8
BTC-12DEC25-70000-C,call,12DEC25,70000.0,0.01996,92579.83,0.24418074,22606.211398474203,82.79,,,0.0
BTC-12DEC25-70000-P,put,12DEC25,70000.0,0.01996,92579.83,0.00028439,26.3287778537,82.79,0.0002,0.0004,1090.0
BTC-12DEC25-75000-C,call,12DEC25,75000.0,0.01996,92579.83,0.19049921,17636.3844769343,71.46,,,2.3
BTC-12DEC25-75000-P,put,12DEC25,75000.0,0.01996,92579.83,0.00061026,56.4977670558,71.46,0.0005,0.0007,1700.6
BTC-12DEC25-78000-C,call,12DEC25,78000.0,0.01996,92579.83,0.15861948,14684.9644930884,66.27,,,4.1
BTC-12DEC25-78000-P,put,12DEC25,78000.0,0.01996,92579.83,0.00113497,105.07532965509999,66.27,0.001,0.0013,1079.1
BTC-12DEC25-80000-C,call,12DEC25,80000.0,0.01996,92579.83,0.13770327,12748.5453270441,63.57,,,10.3
BTC-12DEC25-80000-P,put,12DEC25,80000.0,0.01996,92579.9,0.00182172,168.65465542799998,63.57,0.0017,0.0019,2919.8
BTC-12DEC25-81000-C,call,12DEC25,81000.0,0.01996,92579.83,0.1273072,11786.078933776002,61.78,,,17.7
BTC-12DEC25-81000-P,put,12DEC25,81000.0,0.01996,92579.9,0.00222713,206.18747268699997,61.78,0.0021,0.0024,230.1
BTC-12DEC25-82000-C,call,12DEC25,82000.0,0.01996,92579.9,0.1170423,10835.764429769999,60.2,0.1165,0.118,104.1
BTC-12DEC25-82000-P,put,12DEC25,82000.0,0.01996,92579.9,0.00276371,255.86399542899997,60.2,0.0026,0.0029,958.0
BTC-12DEC25-83000-C,call,12DEC25,83000.0,0.01996,92579.83,0.10688405,9895.3071787115,58.54,,,9.2
BTC-12DEC25-83000-P,put,12DEC25,83000.0,0.01996,92579.83,0.00340694,315.4139260202,58.54,0.0032,0.0036,726.9
BTC-12DEC25-84000-C,call,12DEC25,84000.0,0.01996,92579.83,0.09693835,8974.5359634805,57.12,0.0965,0.098,94.7
BTC-12DEC25-84000-P,put,12DEC25,84000.0,0.01996,92579.83,0.00426273,394.64281873590005,57.12,0.0041,0.0045,1191.1
BTC-12DEC25-85000-C,call,12DEC25,85000.0,0.01996,92579.83,0.08720306,8073.2444702798,55.73,0.0865,0.0885,63.5
BTC-12DEC25-85000-P,put,12DEC25,85000.0,0.01996,92579.9,0.00532892,493.350880708,55.73,0.005,0.0055,872.1
BTC-12DEC25-86000-C,call,12DEC25,86000.0,0.01996,92579.83,0.0776742,7191.064231386,54.23,0.0765,0.079,274.0
BTC-12DEC25-86000-P,put,12DEC25,86000.0,0.01996,92579.9,0.00660154,611.169913046,54.23,0.006,0.007,920.8
BTC-12DEC25-87000-C,call,12DEC25,87000.0,0.01996,92579.83,0.06857599,6348.753496281701,53.1,0.067,0.0695,595.8
BTC-12DEC25-87000-P,put,12DEC25,87000.0,0.01996,92579.83,0.00830481,768.8578979823,53.1,0.008,0.0085,317.4
BTC-12DEC25-88000-C,call,12DEC25,88000.0,0.01996,92579.83,0.05989046,5544.6486054218,52.07,0.0585,0.061,1004.3
BTC-12DEC25-88000-P,put,12DEC25,88000.0,0.01996,92579.83,0.01042075,964.7512634725,52.07,0.01,0.0105,583.8
BTC-12DEC25-89000-C,call,12DEC25,89000.0,0.01996,92579.83,0.05161582,4778.5838409106,50.97,0.051,0.0525,295.1
BTC-12DEC25-89000-P,put,12DEC25,89000.0,0.01996,92579.9,0.0129476,1198.68751324,50.97,0.0125,0.0135,664.8
BTC-12DEC25-90000-C,call,12DEC25,90000.0,0.01996,92579.83,0.04389771,4064.0425291893002,49.98,0.0435,0.0445,1360.4
BTC-12DEC25-90000-P,put,12DEC25,90000.0,0.01996,92579.83,0.01603124,1484.1694738892,49.98,0.0155,0.0165,646.3
BTC-12DEC25-91000-C,call,12DEC25,91000.0,0.01996,92579.9,0.03672864,3400.3338183359997,48.96,0.036,0.0375,1026.7
BTC-12DEC25-91000-P,put,12DEC25,91000.0,0.01996,92579.83,0.01966338,1820.4323776254002,48.96,0.019,0.02,481.9
BTC-12DEC25-92000-C,call,12DEC25,92000.0,0.01996,92579.9,0.03034376,2809.222266424,48.24,0.03,0.031,567.2
BTC-12DEC25-92000-P,put,12DEC25,92000.0,0.01996,92579.83,0.02407999,2229.3213806016997,48.24,0.0235,0.0245,956.9
BTC-12DEC25-93000-C,call,12DEC25,93000.0,0.01996,92579.83,0.02479221,2295.2585871243,47.81,0.0245,0.025,1209.1
BTC-12DEC25-93000-P,put,12DEC25,93000.0,0.01996,92579.83,0.02932992,2715.3590075136,47.81,0.0285,0.0295,647.7
BTC-12DEC25-94000-C,call,12DEC25,94000.0,0.01996,92579.9,0.01982849,1835.719621351,47.21,0.0195,0.0205,581.6
BTC-12DEC25-94000-P,put,12DEC25,94000.0,0.01996,92579.9,0.03516767,3255.8193718329994,47.21,0.0345,0.0355,177.0
BTC-12DEC25-95000-C,call,12DEC25,95000.0,0.01996,92579.83,0.01585637,1467.9800390171001,47.18,0.015,0.016,1458.7
BTC-12DEC25-95000-P,put,12DEC25,95000.0,0.01996,92579.83,0.04199703,3888.0778979049,47.18,0.041,0.0425,20.1
BTC-12DEC25-96000-C,call,12DEC25,96000.0,0.01996,92579.9,0.01243177,1150.932023423,47.01,0.012,0.0125,1657.6
BTC-12DEC25-96000-P,put,12DEC25,96000.0,0.01996,92579.83,0.04937391,4571.0281942353,47.01,0.048,0.0495,104.0
BTC-12DEC25-98000-C,call,12DEC25,98000.0,0.01996,92579.83,0.00740275,685.3453365325,46.96,0.0065,0.0075,1106.7
BTC-12DEC25-98000-P,put,12DEC25,98000.0,0.01996,92579.9,0.06594785,6105.445358215,46.96,,,12.7
BTC-12DEC25-100000-C,call,12DEC25,100000.0,0.01996,92579.83,0.00417202,386.24490235660005,46.95,0.0038,0.0042,3081.4
BTC-12DEC25-100000-P,put,12DEC25,100000.0,0.01996,92579.83,0.08432009,7806.3395977847,46.95,0.0825,0.086,42.9
BTC-12DEC25-105000-C,call,12DEC25,105000.0,0.01996,92579.83,0.00111925,103.61997472750001,49.98,0.001,0.0013,2210.5
BTC-12DEC25-105000-P,put,12DEC25,105000.0,0.01996,92579.83,0.13527472,12523.7105808976,49.98,0.1335,0.1365,281.5
BTC-12DEC25-108000-C,call,12DEC25,108000.0,0.01996,92579.83,0.00059793,55.3562577519,53.15,0.0005,0.0006,945.3
BTC-12DEC25-108000-P,put,12DEC25,108000.0,0.01996,92579.83,0.16715784,15475.444410367201,53.15,0.1655,0.1685,27.3
BTC-19DEC25-70000-C,call,19DEC25,70000.0,0.03913,92653.12,0.24553878,22749.9340479936,71.0,,,0.0
BTC-19DEC25-70000-P,put,19DEC25,70000.0,0.03913,92653.12,0.00104491,96.8141716192,71.0,0.0009,0.0012,582.2
BTC-19DEC25-75000-C,call,19DEC25,75000.0,0.03913,92653.12,0.19286494,17869.5384296128,64.54,,,0.7
BTC-19DEC25-75000-P,put,19DEC25,75000.0,0.03913,92653.12,0.00233579,216.41823116479998,64.54,0.0022,0.0024,1102.0
BTC-19DEC25-80000-C,call,19DEC25,80000.0,0.03913,92653.12,0.14181581,13139.677261827199,58.58,0.141,0.143,876.0
BTC-19DEC25-80000-P,put,19DEC25,80000.0,0.03913,92653.12,0.00525138,486.5567413056,58.58,0.005,0.0055,2344.0
BTC-19DEC25-82000-C,call,19DEC25,82000.0,0.03913,92653.12,0.12223951,11325.8719887712,56.38,,,0.0
BTC-19DEC25-82000-P,put,19DEC25,82000.0,0.03913,92653.12,0.00726098,672.7524512576,56.38,0.007,0.0075,583.7
BTC-19DEC25-83000-C,call,19DEC25,83000.0,0.03913,92653.12,0.11269661,10441.692529923199,55.27,,,0.0
BTC-19DEC25-83000-P,put,19DEC25,83000.0,0.03913,92653.12,0.00851102,788.5725573823999,55.27,0.008,0.009,65.1
BTC-19DEC25-84000-C,call,19DEC25,84000.0,0.03913,92653.12,0.10340643,9580.928367561599,54.28,0.102,0.1045,119.4
BTC-19DEC25-84000-P,put,19DEC25,84000.0,0.03913,92653.12,0.01001379,927.8088865248,54.28,0.0095,0.0105,185.3
BTC-19DEC25-85000-C,call,19DEC25,85000.0,0.03913,92653.12,0.09417103,8725.2397431136,52.95,0.039,,6.4
BTC-19DEC25-85000-P,put,19DEC25,85000.0,0.03913,92653.12,0.01157133,1072.1198270496,52.95,0.0115,0.012,729.6
BTC-19DEC25-86000-C,call,19DEC25,86000.0,0.03913,92653.12,0.08548151,7920.128603811199,52.17,0.085,0.0865,44.8
BTC-19DEC25-86000-P,put,19DEC25,86000.0,0.03913,92653.12,0.01367476,1267.0091792511998,52.17,0.0135,0.014,447.4
BTC-19DEC25-87000-C,call,19DEC25,87000.0,0.03913,92653.12,0.07704774,7138.7134999488,51.3,0.0765,0.078,255.6
BTC-19DEC25-87000-P,put,19DEC25,87000.0,0.03913,92653.12,0.01603393,1485.5936403615997,51.3,0.0155,0.0165,554.3
BTC-19DEC25-88000-C,call,19DEC25,88000.0,0.03913,92653.12,0.06883746,6378.0054418752,50.26,0.068,0.07,975.4
BTC-19DEC25-88000-P,put,19DEC25,88000.0,0.03913,92653.12,0.01861659,1724.8851472607998,50.26,0.0185,0.019,87.8
BTC-19DEC25-89000-C,call,19DEC25,89000.0,0.03913,92653.12,0.06117711,5668.2501140832,49.5,0.0605,0.062,25.9
